#{"t_start": 1738319537.8338854, "env_id": null}
r,l,t
-17254.0,8000,6.831608
-17251.6,8000,11.856367
-17276.2,8000,16.897542
-17264.8,8000,21.920231
-17261.0,8000,26.942439
-17172.6,8000,34.436772
-17180.4,8000,39.471133
-17163.8,8000,44.514909
-17077.4,8000,49.576308
-17127.4,8000,54.616149
5223696.2,8000,61.778822
5484807.2,8000,66.777127
-16073.8,8000,71.819434
5441104.4,8000,76.824722
-16773.8,8000,81.874961
-17019.6,8000,89.179154
-16776.4,8000,94.286164
-17056.4,8000,99.397074
-17063.6,8000,104.50934
-16996.4,8000,109.619117
-16883.2,8000,117.045503
-17057.0,8000,122.161129
-16622.2,8000,127.272778
-17074.6,8000,132.398943
-17146.4,8000,137.507795
-16870.4,8000,144.867667
4672354.6,8000,149.93249
-16759.8,8000,155.035509
-16651.0,8000,160.14213
4996531.4,8000,165.201605
-16831.2,8000,172.496201
-16796.6,8000,177.59207
-17261.4,8000,182.678234
-16850.8,8000,187.767088
3657765.2,8000,192.825605
-16975.6,8000,200.200838
-17196.2,8000,205.290603
-17423.8,8000,210.381116
-17059.6,8000,215.467242
-16857.4,8000,220.566381
-17180.8,8000,227.940294
-17079.6,8000,233.052848
-17169.8,8000,238.15968
3524513.6,8000,243.236558
-16858.2,8000,248.347
-16850.0,8000,255.630684
2010546.4,8000,260.712827
-16779.0,8000,265.803616
-16578.8,8000,270.893253
-16519.8,8000,276.000705
-15698.8,8000,283.638636
-17114.0,8000,288.739221
-16629.4,8000,293.848952
-16715.6,8000,298.953076
-16763.6,8000,304.052668
-16792.0,8000,311.72008
-16642.4,8000,316.817555
-16613.8,8000,321.91829
-16614.2,8000,327.021544
-17230.4,8000,332.12228
3534749.2,8000,339.406944
-16883.4,8000,344.488137
-15859.4,8000,349.575567
-14345.0,8000,354.656834
-16432.2,8000,359.739901
-16363.2,8000,367.054338
-17346.0,8000,372.155359
-15993.6,8000,377.267173
-16881.8,8000,382.366845
-15539.8,8000,387.456794
-17195.0,8000,395.003287
-16993.8,8000,400.105002
2794200.0,8000,405.179214
-16725.4,8000,410.276361
-16122.0,8000,415.375078
-16421.8,8000,423.047861
-17133.2,8000,428.161972
-16820.8,8000,433.268151
-16900.0,8000,438.374703
-15805.0,8000,443.476355
4176200.4,8000,450.741957
-16544.0,8000,455.79991
-16190.0,8000,460.867748
-17096.6,8000,465.929438
-16313.6,8000,470.988482
-16556.8,8000,478.226068
-16872.2,8000,483.286869
-16567.0,8000,488.34743
-15231.2,8000,493.409034
4111493.8,8000,498.455507
-10073.8,8000,506.08692
5040255.4,8000,511.103891
-17123.8,8000,516.154802
-17370.8,8000,521.204612
4694236.4,8000,526.213016
3824844.6,8000,533.418883
4958068.6,8000,538.429462
-16948.0,8000,543.496069
5762640.4,8000,548.494338
-17312.4,8000,553.537097
-16935.8,8000,560.807262
-16799.0,8000,565.891039
-16534.8,8000,570.974104
3335900.8,8000,576.027723
-16903.0,8000,581.109745
-16874.0,8000,588.343478
-16586.0,8000,593.390566
-16128.2,8000,598.438162
-17109.6,8000,603.486384
-17364.2,8000,608.535017
-16812.2,8000,615.767692
4104487.0,8000,620.785162
-16322.4,8000,625.833819
-17513.8,8000,630.894971
-17325.4,8000,635.941833
-16719.4,8000,643.164693
3803201.8,8000,648.176704
3704656.2,8000,653.183716
-16889.0,8000,658.222886
5308634.4,8000,663.219042
4262012.0,8000,670.387954
-17018.0,8000,675.427461
-15892.0,8000,680.465118
-17191.4,8000,685.505813
-17144.8,8000,690.547464
-16347.6,8000,697.80319
-17389.2,8000,702.880581
-17891.6,8000,707.955951
-16685.4,8000,713.032169
-17286.4,8000,718.10529
-17688.8,8000,725.358922
3200743.6,8000,730.394426
-17694.6,8000,735.447128
-15884.6,8000,740.492858
-12815.2,8000,745.5387
4456699.8,8000,752.727288
3256362.8,8000,757.726823
-16725.8,8000,762.773303
2451870.4,8000,767.794598
-17974.0,8000,772.835297
4540536.8,8000,780.042138
3843450.8,8000,785.068034
4121475.8,8000,790.087206
4611294.2,8000,795.112864
4281681.2,8000,800.133497
2581382.6,8000,807.319499
2956571.0,8000,812.317109
3184468.6,8000,817.31843
2542855.8,8000,822.313649
2942357.2,8000,827.316042
3903679.0,8000,834.499886
4674105.6,8000,839.502071
4205616.0,8000,844.506156
4104372.4,8000,849.498074
-17382.4,8000,854.547786
4471024.4,8000,861.738531
5089048.6,8000,866.741948
4680108.6,8000,871.758121
4476081.2,8000,876.762571
5687739.0,8000,881.775688
2453473.2,8000,888.976624
2982385.4,8000,893.975282
-8435.2,8000,899.019546
3149634.6,8000,904.021924
2834709.4,8000,909.025561
-15532.0,8000,916.229388
2472722.6,8000,921.205067
-16627.8,8000,926.22929
1750786.6,8000,931.20331
-10721.4,8000,936.224832
1760680.8,8000,943.397724
-7517.6,8000,948.437666
2046357.4,8000,953.44213
-8317.4,8000,958.481145
1226655.8,8000,963.483277
2075489.2,8000,970.698992
2028482.6,8000,975.723707
2389777.2,8000,980.747796
2064513.0,8000,985.768542
2162726.2,8000,990.788353
2446294.6,8000,998.022922
2465679.6,8000,1003.057138
1826582.4,8000,1008.087229
-9450.0,8000,1013.160864
2289239.4,8000,1018.193691
-16155.6,8000,1025.484836
-13974.6,8000,1030.565807
1609976.0,8000,1035.602129
1726682.6,8000,1040.644527
1798897.0,8000,1045.677819
1823158.8,8000,1052.915414
-9754.2,8000,1057.999436
1881958.6,8000,1063.029992
1896482.4,8000,1068.059609
1559237.8,8000,1073.090428
2801901.6,8000,1080.390056
2596572.4,8000,1085.434965
2976535.6,8000,1090.485282
3240636.4,8000,1095.559667
2932624.6,8000,1100.592025
1140865.6,8000,1107.817038
1640939.4,8000,1112.821981
1734846.4,8000,1117.833734
1803927.6,8000,1122.846175
2217865.2,8000,1127.859635
595159.2,8000,1135.09151
1082558.0,8000,1140.093362
599803.4,8000,1145.091179
730343.2,8000,1150.064336
667621.2,8000,1155.052976
912339.8,8000,1161.12526
787634.0,8000,1166.123879
-8410.4,8000,1171.167846
556343.4,8000,1176.17251
-8770.6,8000,1181.216861
-10642.2,8000,1188.453676
2210565.6,8000,1193.464083
-8054.6,8000,1198.505232
1736291.8,8000,1203.521271
-15366.0,8000,1208.577595
834316.4,8000,1215.780548
836718.6,8000,1220.776487
728202.0,8000,1225.777541
1166137.8,8000,1230.791639
494075.4,8000,1235.787645
-15307.6,8000,1243.003202
4339224.0,8000,1247.994572
4449114.8,8000,1252.981832
4387862.4,8000,1257.979067
-11708.6,8000,1263.003363
-12889.4,8000,1270.216012
-12131.0,8000,1275.2618
3830408.8,8000,1280.274728
-11761.2,8000,1285.329751
-13393.2,8000,1290.362184
2620290.0,8000,1297.528086
-12514.6,8000,1302.570732
-10090.0,8000,1307.599725
2143180.6,8000,1312.583909
